keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.000925926,-0.258333333,1,0,0,8.3258,square_button,1,7.0258,,0,0,0,8,1,1.3,images/target_square.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,,,,,
,0,-0.407407407,-0.224074074,1,0,0,2.1706,cross_button,0,0.6706,,0,1,1,2,1,1.5,images/target_square.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,,,,,
v,0,,,,,,,,,1.0218,,0,2,2,7,1,1.1,images/target_plus.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,2.1218,,,,,,,,,,,,
c,1,,,,,,,,,0.7805,b,0,3,3,3,1,1.3,images/target_cross.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,2.0805,1.4238,,,,,,,,,,,
c,0,,,,,,,,,0.7971,c,0,4,4,1,1,1.3,images/target_plus.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,2.0971,0.6593,,,,,,,,,,,
v,1,,,,,,,,,1.0475,v,0,5,5,5,1,1.1,images/target_square.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,2.1475,0.3836,,,,,,,,,,,
b,1,,,,,,,,,0.7648,b,0,6,6,4,1,1.5,images/target_plus.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,2.2648,0.1591,,,,,,,,,,,
b,0,,,,,,,,,0.5557,b,0,7,7,0,1,1.1,images/target_cross.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,1.6557,0.1269,,,,,,,,,,,
v,0,,,,,,,,,0.9532,b,0,8,8,6,1,1.5,images/target_cross.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,2.4532,0.5925,,,,,,,,,,,
,0,0.887962963,-0.075925926,1,0,0,2.7647,plus_button,1,1.4647,,,,,,,1.3,images/target_plus.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,-0.136111111,-0.2,1,0,0,0,0,0,1,1
