keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,correctMouseResp,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,5.128,,,,,,,,3.828,c,5.521,0,0,0,3,1,1.3,images/target_cross.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,,,,,
c,1,2.625,,,,,,,,1.125,space,4.66,0,1,1,6,1,1.5,images/target_cross.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,,,,,
b,1,3.689,,,,,,,,2.389,b,2.022,0,2,2,1,1,1.3,images/target_plus.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,,,,,
v,0,3.183,,,,,,,,2.083,space,2.54,0,3,3,7,1,1.1,images/target_plus.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,,,,,
v,1,3.368,,,,,,,,1.868,space,1.97,0,4,4,2,1,1.5,images/target_square.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,,,,,
v,1,2.279,,,,,,,,0.979,v,3.363,0,5,5,8,1,1.3,images/target_square.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,,,,,
v,1,1.644,,,,,,,,0.544,v,3.59,0,6,6,5,1,1.1,images/target_square.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,,,,,
c,0,2.616,,,,,,,,1.116,b,3.483,0,7,7,4,1,1.5,images/target_plus.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,,,,,
c,1,2.262,,,,,,,,1.162,c,2.784,0,8,8,0,1,1.1,images/target_cross.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,,,,,
,0,,-0.011080332,-0.238227147,0,0,1,0.01,square_button,-1.29,,,,,,,,1.3,images/target_plus.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,-0.011080332,-0.238227147,1,0,1,0,0,0,0,1,1
b,1,2.74,,,,,,,,1.64,,,,,,,,1.1,images/target_plus.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,0,1,1,7,1
v,1,2.915,,,,,,,,1.815,,,,,,,,1.1,images/target_square.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,0,2,2,5,1
c,1,1.848,,,,,,,,0.748,,,,,,,,1.1,images/target_cross.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,0,3,3,0,1
b,0,2.245,,,,,,,,0.745,,,,,,,,1.5,images/target_square.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,0,4,4,2,1
c,1,2.432,,,,,,,,0.932,,,,,,,,1.5,images/target_cross.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,0,5,5,6,1
v,0,3.081,,,,,,,,1.581,,,,,,,,1.5,images/target_plus.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,0,6,6,4,1
