keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,3.8019,,,,,,,,2.7019,,0,0,0,0,1,1.1,images/target_cross.jpg,啊实打实的,001,03-06-2023_21h25.23.610,choiceRTT,2021.2.3,Win32,59.94125757,,,,,,,,,,,,
c,1,3.7451,,,,,,,,2.4451,,0,1,1,3,1,1.3,images/target_cross.jpg,啊实打实的,001,03-06-2023_21h25.23.610,choiceRTT,2021.2.3,Win32,59.94125757,,,,,,,,,,,,
b,0,5.3813,,,,,,,,4.0813,b,0,2,2,8,1,1.3,images/target_square.jpg,啊实打实的,001,03-06-2023_21h25.23.610,choiceRTT,2021.2.3,Win32,59.94125757,3.116,,,,,,,,,,,
c,0,2.6454,0.169444444,0.037962963,1,0,0,2.1781,,1.5454,,0,3,3,5,1,1.1,images/target_square.jpg,啊实打实的,001,03-06-2023_21h25.23.610,choiceRTT,2021.2.3,Win32,59.94125757,,,,,,,,,,,,
c,0,0.8706,,,,,,,,-0.2294,c,0,4,4,7,1,1.1,images/target_plus.jpg,啊实打实的,001,03-06-2023_21h25.23.610,choiceRTT,2021.2.3,Win32,59.94125757,2.0732,,,,,,,,,,,
c,1,0.2573,,,,,,,,-1.2427,c,0,5,5,6,1,1.5,images/target_cross.jpg,啊实打实的,001,03-06-2023_21h25.23.610,choiceRTT,2021.2.3,Win32,59.94125757,0.2179,,,,,,,,,,,
c,0,0.2101,,,,,,,,-1.0899,c,0,6,6,1,1,1.3,images/target_plus.jpg,啊实打实的,001,03-06-2023_21h25.23.610,choiceRTT,2021.2.3,Win32,59.94125757,0.2083,,,,,,,,,,,
c,0,0.194,,,,,,,,-1.306,c,0,7,7,2,1,1.5,images/target_square.jpg,啊实打实的,001,03-06-2023_21h25.23.610,choiceRTT,2021.2.3,Win32,59.94125757,0.1744,,,,,,,,,,,
c,0,0.1858,,,,,,,,-1.3142,c,0,8,8,4,1,1.5,images/target_plus.jpg,啊实打实的,001,03-06-2023_21h25.23.610,choiceRTT,2021.2.3,Win32,59.94125757,0.2165,,,,,,,,,,,
c,0,2.8287,0.071296296,0.046296296,1,0,0,1.2141,,1.7287,,,,,,,1.1,images/target_plus.jpg,啊实打实的,001,03-06-2023_21h25.23.610,choiceRTT,2021.2.3,Win32,59.94125757,,,0.197222222,0.038888889,0,0,1,0,0,0,7,1
