response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate
c,1,5.819000006,-0.4125,0.00875,0,0,0,1,0,8,0,1,7,1,-0.375,c,1,001,2020-07-29_19h24.06.185,choiceRTT,3.1.3,60
n,0,2.075999975,-0.4125,0.00875,0,0,0,1,0,8,6,1,7,1,0.125,b,1,001,2020-07-29_19h24.06.185,choiceRTT,3.1.3,60
