participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton
Gab,001,2023-08-28_18h56.06.890,choiceRTT,2023.1.3,MacIntel,61.1995104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gab,001,2023-08-28_18h56.06.890,choiceRTT,2023.1.3,MacIntel,61.1995104,b,1,2.254,,,,,,,,,1.154,space,0.671,,0,0,0,7,1,1.1,images/target_plus.jpg,,,,,,,,
Gab,001,2023-08-28_18h56.06.890,choiceRTT,2023.1.3,MacIntel,61.1995104,c,1,2.226,,,,,,,,,0.726,space,0.25,,0,1,1,6,1,1.5,images/target_cross.jpg,,,,,,,,
Gab,001,2023-08-28_18h56.06.890,choiceRTT,2023.1.3,MacIntel,61.1995104,c,1,1.591,,,,,,,,,0.491,space,0.391,,0,2,2,0,1,1.1,images/target_cross.jpg,,,,,,,,
Gab,001,2023-08-28_18h56.06.890,choiceRTT,2023.1.3,MacIntel,61.1995104,b,1,2.29,,,,,,,,,0.79,space,0.425,,0,3,3,4,1,1.5,images/target_plus.jpg,,,,,,,,
Gab,001,2023-08-28_18h56.06.890,choiceRTT,2023.1.3,MacIntel,61.1995104,c,0,2.227,,,,,,,,,0.927,space,0.424,,0,4,4,1,1,1.3,images/target_plus.jpg,,,,,,,,
Gab,001,2023-08-28_18h56.06.890,choiceRTT,2023.1.3,MacIntel,61.1995104,c,1,1.991,,,,,,,,,0.691,space,0.338,,0,5,5,3,1,1.3,images/target_cross.jpg,,,,,,,,
Gab,001,2023-08-28_18h56.06.890,choiceRTT,2023.1.3,MacIntel,61.1995104,v,1,1.826,,,,,,,,,0.526,space,0.321,,0,6,6,8,1,1.3,images/target_square.jpg,,,,,,,,
Gab,001,2023-08-28_18h56.06.890,choiceRTT,2023.1.3,MacIntel,61.1995104,v,1,1.629,,,,,,,,,0.529,space,0.28,,0,7,7,5,1,1.1,images/target_square.jpg,,,,,,,,
Gab,001,2023-08-28_18h56.06.890,choiceRTT,2023.1.3,MacIntel,61.1995104,v,1,1.999,,,,,,,,,0.499,space,0.295,,0,8,8,2,1,1.5,images/target_square.jpg,,,,,,,,
Gab,001,2023-08-28_18h56.06.890,choiceRTT,2023.1.3,MacIntel,61.1995104,,,,,,,,,,,,,,,,,,,,,,,space,2.736,,-0.517361111,-0.077083333,0,0,0
