response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,response.rt
,0,-0.370551215,-0.005837674,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,,001,2021-06-09_11h22.32.294,choiceRTT,3.1.3,60,
n,0,-0.065881076,0.23766059,0,0,0,,1,0,8,6,1,7,1,0.125,b,,001,2021-06-09_11h22.32.294,choiceRTT,3.1.3,60,26.93799996
