response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate
,0,0.179629646,-0.025000008,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,,001,2020-11-25_14h44.02.405,choiceRTT,3.1.3,60
,0,0.312037055,0.003703696,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,,001,2020-11-25_14h44.02.405,choiceRTT,3.1.3,60
,0,-0.12777771,-0.014814822,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,,001,2020-11-25_14h44.02.405,choiceRTT,3.1.3,60
,0,-0.372222215,0.034259252,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,,001,2020-11-25_14h44.02.405,choiceRTT,3.1.3,60
,0,0.068518533,0.008333326,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,,001,2020-11-25_14h44.02.405,choiceRTT,3.1.3,60
,0,-0.124999989,-0.004629637,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,,001,2020-11-25_14h44.02.405,choiceRTT,3.1.3,60
,0,-0.361111103,0.01203703,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,,001,2020-11-25_14h44.02.405,choiceRTT,3.1.3,60
,0,0.372222241,0.003703696,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,,001,2020-11-25_14h44.02.405,choiceRTT,3.1.3,60
