keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,correctMouseResp,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,2.4289,,,,,,,,1.1289,space,5.2833,0,0,0,8,1,1.3,images/target_square.jpg,a1,001,2022-07-06_22h19.53.297,choiceRTT,2021.2.3,Win32,59.61962678,,,,,,,,,,,,
c,1,2.4193,,,,,,,,1.1193,space,2.5962,0,1,1,3,1,1.3,images/target_cross.jpg,a1,001,2022-07-06_22h19.53.297,choiceRTT,2021.2.3,Win32,59.61962678,,,,,,,,,,,,
v,0,2.6822,,,,,,,,1.5822,space,3.2098,0,2,2,7,1,1.1,images/target_plus.jpg,a1,001,2022-07-06_22h19.53.297,choiceRTT,2021.2.3,Win32,59.61962678,,,,,,,,,,,,
b,1,2.5885,,,,,,,,1.0885,space,1.658,0,3,3,4,1,1.5,images/target_plus.jpg,a1,001,2022-07-06_22h19.53.297,choiceRTT,2021.2.3,Win32,59.61962678,,,,,,,,,,,,
v,1,2.8578,,,,,,,,1.3578,space,2.5612,0,4,4,2,1,1.5,images/target_square.jpg,a1,001,2022-07-06_22h19.53.297,choiceRTT,2021.2.3,Win32,59.61962678,,,,,,,,,,,,
b,1,2.5384,,,,,,,,1.2384,space,1.8691,0,5,5,1,1,1.3,images/target_plus.jpg,a1,001,2022-07-06_22h19.53.297,choiceRTT,2021.2.3,Win32,59.61962678,,,,,,,,,,,,
c,1,2.7034,,,,,,,,1.2034,space,1.3942,0,6,6,6,1,1.5,images/target_cross.jpg,a1,001,2022-07-06_22h19.53.297,choiceRTT,2021.2.3,Win32,59.61962678,,,,,,,,,,,,
v,1,2.1872,,,,,,,,1.0872,space,1.881,0,7,7,5,1,1.1,images/target_square.jpg,a1,001,2022-07-06_22h19.53.297,choiceRTT,2021.2.3,Win32,59.61962678,,,,,,,,,,,,
v,0,1.5772,,,,,,,,0.4772,space,3.4123,0,8,8,0,1,1.1,images/target_cross.jpg,a1,001,2022-07-06_22h19.53.297,choiceRTT,2021.2.3,Win32,59.61962678,,,,,,,,,,,,
,0,,0.2578125,-0.254166667,1,0,0,2.9286,plus_button,1.4286,,,,,,,,1.5,images/target_plus.jpg,a1,001,2022-07-06_22h19.53.297,choiceRTT,2021.2.3,Win32,59.61962678,,-0.000520833,-0.2390625,1,0,0,1,0,0,0,4,1
