participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2023-11-19_18h32.18.270,choiceRTT,2023.1.3,Win32,60.0528465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2023-11-19_18h32.18.270,choiceRTT,2023.1.3,Win32,60.0528465,,0,-0.247395833,-0.233072917,1,0,0,4.6027,cross_button,0,3.1027,space,7.07,,0,0,0,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
,001,2023-11-19_18h32.18.270,choiceRTT,2023.1.3,Win32,60.0528465,c,1,,,,,,,,,2.0515,,,,0,1,1,6,1,1.5,images/target_cross.jpg,3.5515,,,,,,,,,,,,
,001,2023-11-19_18h32.18.270,choiceRTT,2023.1.3,Win32,60.0528465,b,1,,,,,,,,,2.3423,space,1.6566,,0,2,2,1,1,1.3,images/target_plus.jpg,3.6423,,,,,,,,,,,,
,001,2023-11-19_18h32.18.270,choiceRTT,2023.1.3,Win32,60.0528465,v,1,,,,,,,,,1.7293,space,3.7755,,0,3,3,2,1,1.5,images/target_square.jpg,3.2293,,,,,,,,,,,,
,001,2023-11-19_18h32.18.270,choiceRTT,2023.1.3,Win32,60.0528465,c,1,,,,,,,,,2.5076,space,2.8689,,0,4,4,0,1,1.1,images/target_cross.jpg,3.6076,,,,,,,,,,,,
,001,2023-11-19_18h32.18.270,choiceRTT,2023.1.3,Win32,60.0528465,v,1,,,,,,,,,1.7862,space,1.525,,0,5,5,5,1,1.1,images/target_square.jpg,2.8862,,,,,,,,,,,,
,001,2023-11-19_18h32.18.270,choiceRTT,2023.1.3,Win32,60.0528465,c,1,,,,,,,,,2.0022,space,1.2178,,0,6,6,3,1,1.3,images/target_cross.jpg,3.3022,,,,,,,,,,,,
,001,2023-11-19_18h32.18.270,choiceRTT,2023.1.3,Win32,60.0528465,v,1,,,,,,,,,2.0654,space,1.0753,,0,7,7,8,1,1.3,images/target_square.jpg,3.3654,,,,,,,,,,,,
,001,2023-11-19_18h32.18.270,choiceRTT,2023.1.3,Win32,60.0528465,b,1,,,,,,,,,1.8406,space,0.9148,,0,8,8,7,1,1.1,images/target_plus.jpg,2.9406,,,,,,,,,,,,
,001,2023-11-19_18h32.18.270,choiceRTT,2023.1.3,Win32,60.0528465,,,,,,,,,,,,,,,,,,,,,,,,,-0.055989583,-0.26171875,1,0,0,,,,,
