participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
N,001,2024-02-12_09h38.16.727,choiceRTT,2023.1.3,Win32,47.84688995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,001,2024-02-12_09h38.16.727,choiceRTT,2023.1.3,Win32,47.84688995,,0,-0.059259273,-0.267592607,1,0,0,5.1539,square_button,1,3.6539,space,13.7319,,0,0,0,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
N,001,2024-02-12_09h38.16.727,choiceRTT,2023.1.3,Win32,47.84688995,,0,-0.223148134,-0.271296325,1,0,0,3.24,cross_button,0,2.14,space,1.9923,,0,1,1,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
N,001,2024-02-12_09h38.16.727,choiceRTT,2023.1.3,Win32,47.84688995,,0,-0.027777778,-0.237037023,1,0,0,2.6118,square_button,1,1.3118,space,7.7706,,0,2,2,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
N,001,2024-02-12_09h38.16.727,choiceRTT,2023.1.3,Win32,47.84688995,,0,0.185185185,-0.268518519,1,0,0,2.7626,plus_button,1,1.2626,space,4.767,,0,3,3,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
N,001,2024-02-12_09h38.16.727,choiceRTT,2023.1.3,Win32,47.84688995,,0,0.200925968,-0.271296325,1,0,0,2.4778,plus_button,1,1.1778,space,1.4925,,0,4,4,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
N,001,2024-02-12_09h38.16.727,choiceRTT,2023.1.3,Win32,47.84688995,,0,-0.003703718,-0.255555541,1,0,0,2.0157,square_button,1,0.9157,space,3.7322,,0,5,5,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
N,001,2024-02-12_09h38.16.727,choiceRTT,2023.1.3,Win32,47.84688995,,0,-0.256481453,-0.224074116,1,0,0,3.079,cross_button,1,1.579,space,1.7854,,0,6,6,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
N,001,2024-02-12_09h38.16.727,choiceRTT,2023.1.3,Win32,47.84688995,,0,-0.234259217,-0.249074088,1,0,0,1.8914,cross_button,1,0.7914,space,1.1385,,0,7,7,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
N,001,2024-02-12_09h38.16.727,choiceRTT,2023.1.3,Win32,47.84688995,,0,-0.151851866,-0.284259302,1,0,0,2.3069,cross_button,1,1.0069,space,10.6805,,0,8,8,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
