keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,4.136,,,,,,,,2.836,,0,0,0,8,1,1.3,images/target_square.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
b,1,2.004,,,,,,,,0.704,,0,1,1,1,1,1.3,images/target_plus.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,0,1.638,,,,,,,,0.538,,0,2,2,7,1,1.1,images/target_plus.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,0,2.805,,,,,,,,1.305,,0,3,3,4,1,1.5,images/target_plus.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,
c,1,3.522,,,,,,,,2.222,c,0,4,4,3,1,1.3,images/target_cross.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,8.127,,,,,,,,,,,
v,1,3.839,,,,,,,,2.739,c,0,5,5,5,1,1.1,images/target_square.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,4.375,,,,,,,,,,,
b,0,1.673,,,,,,,,0.573,c,0,6,6,0,1,1.1,images/target_cross.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,1.027,,,,,,,,,,,
v,1,2.137,,,,,,,,0.637,c,0,7,7,2,1,1.5,images/target_square.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,1.327,,,,,,,,,,,
b,0,2.054,,,,,,,,0.554,c,0,8,8,6,1,1.5,images/target_cross.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,0.777,,,,,,,,,,,
v,1,1.785,,,,,,,,0.685,,,,,,,1.1,images/target_square.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,-0.04,-0.24,1,0,0,0,0,0,5,1
v,1,2.072,,,,,,,,0.772,,,,,,,1.3,images/target_square.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,1,1,8,1
c,1,3.705,,,,,,,,2.205,,,,,,,1.5,images/target_cross.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,2,2,6,1
b,1,1.94,,,,,,,,0.64,,,,,,,1.3,images/target_plus.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,3,3,1,1
b,1,2.019,,,,,,,,0.519,,,,,,,1.5,images/target_plus.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,4,4,4,1
c,1,2.072,,,,,,,,0.772,,,,,,,1.3,images/target_cross.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,5,5,3,1
b,1,3.269,,,,,,,,2.169,,,,,,,1.1,images/target_plus.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,6,6,7,1
c,1,1.787,,,,,,,,0.687,,,,,,,1.1,images/target_cross.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,7,7,0,1
v,1,2.135,,,,,,,,0.635,,,,,,,1.5,images/target_square.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,0,8,8,2,1
c,0,2.505,,,,,,,,1.205,,,,,,,1.3,images/target_plus.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,1,0,9,1,1
b,1,2.222,,,,,,,,0.722,,,,,,,1.5,images/target_plus.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,1,1,10,4,1
b,1,1.606,,,,,,,,0.506,,,,,,,1.1,images/target_plus.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,1,2,11,7,1
c,1,1.973,,,,,,,,0.673,,,,,,,1.3,images/target_cross.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,1,3,12,3,1
v,1,2.103,,,,,,,,0.603,,,,,,,1.5,images/target_square.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,1,4,13,2,1
v,1,1.677,,,,,,,,0.577,,,,,,,1.1,images/target_square.jpg,María,001,2022-12-01_11h25.15.003,choiceRTT,2021.2.3,MacIntel,58.82352941,,,,,,,,1,5,14,5,1
