keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,PracticeLoop.order
,0,-0.118740139,-0.070744145,1,0,0,2.8107,cross_button,1,1.5107,,0,0,0,3,1,1.3,images/target_cross.jpg,1,001,2022-10-11_21h50.25.753,choiceRTT,2021.2.3,Win32,29.96524032,
,0,0.234537944,-0.275712113,1,0,0,2.8855,plus_button,0,1.3855,,0,1,1,6,1,1.5,images/target_cross.jpg,1,001,2022-10-11_21h50.25.753,choiceRTT,2021.2.3,Win32,29.96524032,
,0,-0.31121006,-0.040748848,1,0,0,2.2473,plus_button,1,0.7473,,0,2,2,4,1,1.5,images/target_plus.jpg,1,001,2022-10-11_21h50.25.753,choiceRTT,2021.2.3,Win32,29.96524032,
,0,-0.128395093,-0.054189511,1,0,0,2.3248,cross_button,0,0.8248,,0,3,3,2,1,1.5,images/target_square.jpg,1,001,2022-10-11_21h50.25.753,choiceRTT,2021.2.3,Win32,29.96524032,8
