participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
A,001,2023-11-22_21h09.03.579,choiceRTT,2023.1.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,
A,001,2023-11-22_21h09.03.579,choiceRTT,2023.1.3,Win32,59.94485074,,0,-0.24537037,-0.266666667,1,0,0,2.6364,cross_button,0,1.5364,,0,0,0,5,1,1.1,images/target_square.jpg
