response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate
,0,0.058414465,-0.060500695,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,m,001,2020-09-23_15h54.58.392,choiceRTT,3.1.3,60
,0,0.346314325,-0.039638387,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,m,001,2020-09-23_15h54.58.392,choiceRTT,3.1.3,60
,0,-0.111265647,-0.021557719,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,m,001,2020-09-23_15h54.58.392,choiceRTT,3.1.3,60
