participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton
001,001,2024-01-29_22h09.25.932,choiceRTT,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,001,2024-01-29_22h09.25.932,choiceRTT,2023.1.3,MacIntel,59.88023952,c,0,4.5118,,,,,,,,,3.2118,space,16.169,,0,0,0,1,1,1.3,images/target_plus.jpg,,,,,,
001,001,2024-01-29_22h09.25.932,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,6.1276,,,,,,,,,4.8276,space,5.962,,0,1,1,8,1,1.3,images/target_square.jpg,,,,,,
001,001,2024-01-29_22h09.25.932,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,4.6219,,,,,,,,,3.5219,space,1.1134,,0,2,2,0,1,1.1,images/target_cross.jpg,,,,,,
001,001,2024-01-29_22h09.25.932,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,2.3911,,,,,,,,,1.2911,space,1.499,,0,3,3,5,1,1.1,images/target_square.jpg,,,,,,
001,001,2024-01-29_22h09.25.932,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,2.4478,,,,,,,,,0.9478,space,1.1448,,0,4,4,2,1,1.5,images/target_square.jpg,,,,,,
001,001,2024-01-29_22h09.25.932,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,3.2457,,,,,,,,,1.7457,space,3.1976,,0,5,5,6,1,1.5,images/target_cross.jpg,,,,,,
001,001,2024-01-29_22h09.25.932,choiceRTT,2023.1.3,MacIntel,59.88023952,b,1,2.1143,,,,,,,,,0.6143,space,1.0961,,0,6,6,4,1,1.5,images/target_plus.jpg,,,,,,
001,001,2024-01-29_22h09.25.932,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,2.3965,,,,,,,,,1.0965,space,0.5815,,0,7,7,3,1,1.3,images/target_cross.jpg,,,,,,
001,001,2024-01-29_22h09.25.932,choiceRTT,2023.1.3,MacIntel,59.88023952,c,0,1.8955,,,,,,,,,0.7955,space,0.6464,,0,8,8,7,1,1.1,images/target_plus.jpg,,,,,,
001,001,2024-01-29_22h09.25.932,choiceRTT,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,0.262737772,-0.115081522,1,0,0
