participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,c,1,4.4854,,,,,,,,,2.9854,,0,0,0,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,b,1,3.1821,,,,,,,,,1.6821,,0,1,1,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,c,1,2.5268,,,,,,,,,1.4268,,0,2,2,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,b,1,2.0769,,,,,,,,,0.9769,,0,3,3,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,b,1,2.2292,,,,,,,,,0.9292,,0,4,4,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,v,1,1.6633,,,,,,,,,0.5633,,0,5,5,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,v,1,2.2478,,-0.03125,-0.178385417,1,0,0,2.1721,,0.7478,,0,6,6,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,c,1,1.9732,,,,,,,,,0.6732,,0,7,7,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,v,1,2.062,,,,,,,,,0.762,,0,8,8,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,,,,,,,,,,,,,,,,,,,,,space,11.4146,,0.087239583,-0.2109375,0,0,0,,,,,
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,c,1,2.1914,,,,,,,,,0.8914,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,0,0,3,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,v,1,2.3089,,,,,,,,,0.8089,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,1,1,2,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,b,1,2.1328,,,,,,,,,0.8328,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,2,2,1,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,v,1,2.0025,,,,,,,,,0.7025,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,3,3,8,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,b,1,2.3275,,,,,,,,,0.8275,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,4,4,4,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,c,1,2.1743,,,,,,,,,0.6743,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,5,5,6,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,b,1,2.1222,,,,,,,,,1.0222,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,6,6,7,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,v,1,1.83,,,,,,,,,0.73,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,7,7,5,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,c,1,1.8211,,,,,,,,,0.7211,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,8,8,0,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,b,1,2.1428,,,,,,,,,0.6428,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,1,0,9,4,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,v,1,1.8131,,,,,,,,,0.5131,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,1,10,8,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,v,1,1.6743,,,,,,,,,0.5743,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,2,11,5,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,b,1,1.971,,,,,,,,,0.871,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,3,12,7,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,c,1,2.0761,,,,,,,,,0.7761,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,1,4,13,3,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,c,1,1.8603,,,,,,,,,0.7603,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,1,5,14,0,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,b,1,1.9222,,,,,,,,,0.6222,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,1,6,15,1,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,c,1,2.2941,,,,,,,,,0.7941,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,1,7,16,6,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,v,1,2.1897,,,,,,,,,0.6897,,,,,,,1.5,images/target_square.jpg,,,,,,,,,1,8,17,2,1
A,001,2023-11-03_22h55.58.693,choiceRTT,2023.1.3,Win32,60.13229104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
