participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,,0,-0.245833333,-0.248611111,1,0,0,3.2907,cross_button,1,1.7907,,0,0,0,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,,0,0.270833333,-0.25,1,0,0,2.5666,plus_button,1,1.2666,,0,1,1,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,c,0,,,,,,,,,1.9158,,0,2,2,7,1,1.1,images/target_plus.jpg,3.0158,,,,,,,,,,,,
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,c,1,,,,,,,,,0.7915,,0,3,3,0,1,1.1,images/target_cross.jpg,1.8915,,,,,,,,,,,,
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,c,1,,,,,,,,,0.8568,,0,4,4,3,1,1.3,images/target_cross.jpg,2.1568,,,,,,,,,,,,
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,v,1,,,,,,,,,1.9445,,0,5,5,2,1,1.5,images/target_square.jpg,3.4445,,,,,,,,,,,,
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,b,1,,,,,,,,,0.5894,,0,6,6,4,1,1.5,images/target_plus.jpg,2.0894,,,,,,,,,,,,
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,b,0,,,,,,,,,0.7122,,0,7,7,8,1,1.3,images/target_square.jpg,2.0122,,,,,,,,,,,,
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,v,1,,,,,,,,,0.7098,,0,8,8,5,1,1.1,images/target_square.jpg,1.8098,,,,,,,,,,,,
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,,,,,,,,,,,,,,,,,,,,,,,-0.209722222,-0.294444444,1,0,0,,,,,
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,v,1,,,,,,,,,1.2401,,,,,,,1.3,images/target_square.jpg,2.5401,,,,,,,,0,0,0,8,1
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,c,1,,,,,,,,,1.0953,,,,,,,1.3,images/target_cross.jpg,2.3953,,,,,,,,0,1,1,3,1
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,c,1,,,,,,,,,0.6977,,,,,,,1.1,images/target_cross.jpg,1.7977,,,,,,,,0,2,2,0,1
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,b,1,,,,,,,,,0.5889,,,,,,,1.1,images/target_plus.jpg,1.6889,,,,,,,,0,3,3,7,1
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,v,1,,,,,,,,,0.507,,,,,,,1.5,images/target_square.jpg,2.007,,,,,,,,0,4,4,2,1
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,b,1,,,,,,,,,1.0719,,,,,,,1.5,images/target_plus.jpg,2.5719,,,,,,,,0,5,5,4,1
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,b,1,,,,,,,,,0.8366,,,,,,,1.3,images/target_plus.jpg,2.1366,,,,,,,,0,6,6,1,1
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,v,1,,,,,,,,,1.0556,,,,,,,1.1,images/target_square.jpg,2.1556,,,,,,,,0,7,7,5,1
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,c,1,,,,,,,,,1.5926,,,,,,,1.5,images/target_cross.jpg,3.0926,,,,,,,,0,8,8,6,1
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,v,1,,,,,,,,,0.7296,,,,,,,1.5,images/target_square.jpg,2.2296,,,,,,,,1,0,9,2,1
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,v,1,,,,,,,,,0.6891,,,,,,,1.1,images/target_square.jpg,1.7891,,,,,,,,1,1,10,5,1
,001,2024-02-09_14h01.13.381,choiceRTT,2023.1.3,Win32,58.47953216,v,0,,,,,,,,,1.574,,,,,,,1.5,images/target_cross.jpg,3.074,,,,,,,,1,2,11,6,1
