keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.146296268,0.00370369,1,0,0,9.3193,cross_button,1,8.0193,,0,0,0,3,1,1.3,images/target_cross.jpg,0719,001,2023-01-23_10h44.47.036,choiceRTT,2021.2.3,Win32,59.88023952,,,,,,,,,,,,
b,1,,,,,,,,,1.7014,,0,1,1,1,1,1.3,images/target_plus.jpg,0719,001,2023-01-23_10h44.47.036,choiceRTT,2021.2.3,Win32,59.88023952,3.0014,,,,,,,,,,,
b,1,,,,,,,,,0.7354,,0,2,2,4,1,1.5,images/target_plus.jpg,0719,001,2023-01-23_10h44.47.036,choiceRTT,2021.2.3,Win32,59.88023952,2.2354,,,,,,,,,,,
v,1,,,,,,,,,0.6957,,0,3,3,2,1,1.5,images/target_square.jpg,0719,001,2023-01-23_10h44.47.036,choiceRTT,2021.2.3,Win32,59.88023952,2.1957,,,,,,,,,,,
b,0,,,,,,,,,1.1041,,0,4,4,5,1,1.1,images/target_square.jpg,0719,001,2023-01-23_10h44.47.036,choiceRTT,2021.2.3,Win32,59.88023952,2.2041,,,,,,,,,,,
c,0,,,,,,,,,2.1925,,0,5,5,7,1,1.1,images/target_plus.jpg,0719,001,2023-01-23_10h44.47.036,choiceRTT,2021.2.3,Win32,59.88023952,3.2925,,,,,,,,,,,
c,1,,,,,,,,,1.0916,,0,6,6,0,1,1.1,images/target_cross.jpg,0719,001,2023-01-23_10h44.47.036,choiceRTT,2021.2.3,Win32,59.88023952,2.1916,,,,,,,,,,,
c,1,,,,,,,,,0.6876,,0,7,7,6,1,1.5,images/target_cross.jpg,0719,001,2023-01-23_10h44.47.036,choiceRTT,2021.2.3,Win32,59.88023952,2.1876,,,,,,,,,,,
v,1,,,,,,,,,0.7771,,0,8,8,8,1,1.3,images/target_square.jpg,0719,001,2023-01-23_10h44.47.036,choiceRTT,2021.2.3,Win32,59.88023952,2.0771,,,,,,,,,,,
b,1,,,,,,,,,1.234,,,,,,,1.1,images/target_plus.jpg,0719,001,2023-01-23_10h44.47.036,choiceRTT,2021.2.3,Win32,59.88023952,2.334,,-0.030555556,-0.262037065,1,0,0,0,0,0,7,1
