response.keys, response.corr, response.rt, mouseResp.clicked_name, practiceTrials.thisRepN, practiceTrials.thisTrialN, practiceTrials.thisN, practiceTrials.thisIndex, practiceTrials.ran, practiceTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
, 0, , targImage, 1, 0, 8, 5, 1, 7, 1, -0.125, v, 234, 001, 2018-12-12_09h49.30.377, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 3, 1, 7, 1, 0.375, n, 234, 001, 2018-12-12_09h49.30.377, choiceRTT, 60
