participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration,moveOnKeys.rt,moveOnKeys.duration
,001,2024-02-08_21h27.00.100,choiceRTT,2023.1.3,MacIntel,58.13953488,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-02-08_21h27.00.100,choiceRTT,2023.1.3,MacIntel,58.13953488,,0,-0.023448544,-0.235423642,1,0,0,0.4706,square_button,0,-0.6294,,0,0,0,7,1,1.1,images/target_plus.jpg,,,,
,001,2024-02-08_21h27.00.100,choiceRTT,2023.1.3,MacIntel,58.13953488,,0,-0.023719192,-0.21897025,1,0,0,0.393,square_button,1,-0.907,,0,1,1,8,1,1.3,images/target_square.jpg,,,,
,001,2024-02-08_21h27.00.100,choiceRTT,2023.1.3,MacIntel,58.13953488,c,0,,,,,,,,,3.3814,c,0,2,2,2,1,1.5,images/target_square.jpg,4.8814,,3.1966,
,001,2024-02-08_21h27.00.100,choiceRTT,2023.1.3,MacIntel,58.13953488,c,0,,,,,,,,,-0.8559,c,0,3,3,5,1,1.1,images/target_square.jpg,0.2441,,0.5118,
,001,2024-02-08_21h27.00.100,choiceRTT,2023.1.3,MacIntel,58.13953488,v,0,,,,,,,,,-1.1893,space,0,4,4,6,1,1.5,images/target_cross.jpg,0.3107,,0.5286,
