participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton
,001,2023-12-06_15h27.01.864,choiceRTT,2023.1.3,Win32,60.51437216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2023-12-06_15h27.01.864,choiceRTT,2023.1.3,Win32,60.51437216,c,0,3.9536,,,,,,,,,2.8536,space,3.4168,,0,0,0,7,1,1.1,images/target_plus.jpg,,,,,,,,
,001,2023-12-06_15h27.01.864,choiceRTT,2023.1.3,Win32,60.51437216,v,1,1.8364,,,,,,,,,0.7364,space,3.1389,,0,1,1,5,1,1.1,images/target_square.jpg,,,,,,,,
,001,2023-12-06_15h27.01.864,choiceRTT,2023.1.3,Win32,60.51437216,c,1,2.2208,,,,,,,,,1.1208,space,1.6387,,0,2,2,0,1,1.1,images/target_cross.jpg,,,,,,,,
,001,2023-12-06_15h27.01.864,choiceRTT,2023.1.3,Win32,60.51437216,b,1,2.6514,,,,,,,,,1.1514,space,1.544,,0,3,3,4,1,1.5,images/target_plus.jpg,,,,,,,,
,001,2023-12-06_15h27.01.864,choiceRTT,2023.1.3,Win32,60.51437216,v,1,2.3047,,,,,,,,,0.8047,space,1.4177,,0,4,4,2,1,1.5,images/target_square.jpg,,,,,,,,
,001,2023-12-06_15h27.01.864,choiceRTT,2023.1.3,Win32,60.51437216,b,0,2.4073,,,,,,,,,0.9073,space,1.9212,,0,5,5,6,1,1.5,images/target_cross.jpg,,,,,,,,
,001,2023-12-06_15h27.01.864,choiceRTT,2023.1.3,Win32,60.51437216,v,1,2.124,,,,,,,,,0.824,space,7.8751,,0,6,6,8,1,1.3,images/target_square.jpg,,,,,,,,
,001,2023-12-06_15h27.01.864,choiceRTT,2023.1.3,Win32,60.51437216,c,1,2.1456,,,,,,,,,0.8456,space,4.4385,,0,7,7,3,1,1.3,images/target_cross.jpg,,,,,,,,
,001,2023-12-06_15h27.01.864,choiceRTT,2023.1.3,Win32,60.51437216,b,1,2.2596,,,,,,,,,0.9596,space,5.9319,,0,8,8,1,1,1.3,images/target_plus.jpg,,,,,,,,
,001,2023-12-06_15h27.01.864,choiceRTT,2023.1.3,Win32,60.51437216,,,,,,,,,,,,,,,,,,,,,,,space,3.8247,,-0.0546875,-0.264322917,0,0,0
