response.keys, response.corr, response.rt, mouseResp.clicked_name, practiceTrials.thisRepN, practiceTrials.thisTrialN, practiceTrials.thisN, practiceTrials.thisIndex, practiceTrials.ran, practiceTrials.order, isi, xPos, corrAns, mainTrials.thisRepN, mainTrials.thisTrialN, mainTrials.thisN, mainTrials.thisIndex, mainTrials.ran, mainTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
, 0, , targImage, 1, 0, 8, 0, 1, 7, 1, -0.375, c, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.375, c, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 3, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 5, 1, 7, 1, -0.125, v, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 4, 1, 7, 1, -0.375, c, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.375, c, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 6, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 1, 1, 7, 1, -0.125, v, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.7776, 0.375, n, 1, 0, 40, 35, 1, 39, 2.7776, 0.375, n, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.6666, 0.125, b, 1, 0, 40, 14, 1, 39, 1.6666, 0.125, b, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.2222, 0.125, b, 1, 0, 40, 6, 1, 39, 1.2222, 0.125, b, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 1, 0, 40, 3, 1, 39, 1, 0.375, n, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.5554, 0.125, b, 1, 0, 40, 30, 1, 39, 2.5554, 0.125, b, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.111, -0.375, c, 1, 0, 40, 20, 1, 39, 2.111, -0.375, c, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.2222, -0.375, c, 1, 0, 40, 4, 1, 39, 1.2222, -0.375, c, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.125, v, 1, 0, 40, 17, 1, 39, 1.8888, -0.125, v, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.7776, -0.125, v, 1, 0, 40, 33, 1, 39, 2.7776, -0.125, v, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.111, 0.375, n, 1, 0, 40, 23, 1, 39, 2.111, 0.375, n, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.6666, 0.375, n, 1, 0, 40, 15, 1, 39, 1.6666, 0.375, n, 1, 001, 2018-10-17_11h33.30.547, choiceRTT, 60
