participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,correctMouseResp
1,001,2024-01-17_23h03.11.014,choiceRTT,2023.1.3,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,
1,001,2024-01-17_23h03.11.014,choiceRTT,2023.1.3,MacIntel,119.047619,c,1,7.0804,,,,,,,,,5.5804,,0,0,0,6,1,1.5,images/target_cross.jpg,
1,001,2024-01-17_23h03.11.014,choiceRTT,2023.1.3,MacIntel,119.047619,,0,,,-0.597933201,0.345324901,1,0,0,13.8352,cross_button,12.5352,,0,1,1,1,1,1.3,images/target_plus.jpg,0
