participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
fghfgh,001,2023-11-17_17h56.36.519,choiceRTT,2023.1.3,Win32,147.8415139,,,,,,,,,,,,,,,,,,,,
fghfgh,001,2023-11-17_17h56.36.519,choiceRTT,2023.1.3,Win32,147.8415139,c,1,3.6952,,,,,,,,,2.1952,,0,0,0,6,1,1.5,images/target_cross.jpg
