keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,0.294444473,-0.239814829,1,0,0,2.3757,plus_button,1,1.0757,space,4.5586,0,0,0,1,1,1.3,images/target_plus.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,,,,,,,,,,,,,
v,1,,,,,,,,,1.2094,,,0,1,1,8,1,1.3,images/target_square.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,2.5094,,,,,,,,,,,,
b,1,,,,,,,,,0.7034,,,0,2,2,7,1,1.1,images/target_plus.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.8034,,,,,,,,,,,,
b,1,,,,,,,,,0.5751,,,0,3,3,4,1,1.5,images/target_plus.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,2.0751,,,,,,,,,,,,
c,1,,,,,,,,,0.6553,,,0,4,4,3,1,1.3,images/target_cross.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.9553,,,,,,,,,,,,
c,1,,,,,,,,,0.5135,,,0,5,5,6,1,1.5,images/target_cross.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,2.0135,,,,,,,,,,,,
v,1,,,,,,,,,0.7249,,,0,6,6,2,1,1.5,images/target_square.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,2.2249,,,,,,,,,,,,
c,1,,,,,,,,,0.7708,,,0,7,7,0,1,1.1,images/target_cross.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.8708,,,,,,,,,,,,
v,1,0.034259302,-0.075000021,1,0,0,0.3158,,,0.4233,,,0,8,8,5,1,1.1,images/target_square.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.5233,,,,,,,,,,,,
c,1,,,,,,,,,0.7405,,,,,,,,1.1,images/target_cross.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.8405,space,4.4218,-0.00462963,-0.271296325,0,0,0,0,0,0,0,1
v,1,,,,,,,,,0.5548,,,,,,,,1.1,images/target_square.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.6548,,,,,,,,0,1,1,5,1
b,1,,,,,,,,,0.5695,,,,,,,,1.1,images/target_plus.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.6695,,,,,,,,0,2,2,7,1
c,1,,,,,,,,,0.4477,,,,,,,,1.3,images/target_cross.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.7477,,,,,,,,0,3,3,3,1
v,1,,,,,,,,,0.6206,,,,,,,,1.5,images/target_square.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,2.1206,,,,,,,,0,4,4,2,1
c,1,,,,,,,,,0.5087,,,,,,,,1.5,images/target_cross.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,2.0087,,,,,,,,0,5,5,6,1
b,1,,,,,,,,,0.5774,,,,,,,,1.5,images/target_plus.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,2.0774,,,,,,,,0,6,6,4,1
c,0,,,,,,,,,0.6081,,,,,,,,1.3,images/target_plus.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.9081,,,,,,,,0,7,7,1,1
v,1,,,,,,,,,0.6894,,,,,,,,1.3,images/target_square.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.9894,,,,,,,,0,8,8,8,1
c,1,,,,,,,,,0.7117,,,,,,,,1.5,images/target_cross.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,2.2117,,,,,,,,1,0,9,6,1
b,1,,,,,,,,,0.7932,,,,,,,,1.5,images/target_plus.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,2.2932,,,,,,,,1,1,10,4,1
v,1,,,,,,,,,0.6461,,,,,,,,1.1,images/target_square.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.7461,,,,,,,,1,2,11,5,1
v,1,,,,,,,,,0.6746,,,,,,,,1.5,images/target_square.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,2.1746,,,,,,,,1,3,12,2,1
b,1,,,,,,,,,0.7619,,,,,,,,1.3,images/target_plus.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,2.0619,,,,,,,,1,4,13,1,1
c,1,,,,,,,,,0.6394,,,,,,,,1.1,images/target_cross.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.7394,,,,,,,,1,5,14,0,1
b,1,,,,,,,,,0.705,,,,,,,,1.1,images/target_plus.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.805,,,,,,,,1,6,15,7,1
v,1,,,,,,,,,0.6513,,,,,,,,1.3,images/target_square.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.9513,,,,,,,,1,7,16,8,1
c,1,,,,,,,,,0.5568,,,,,,,,1.3,images/target_cross.jpg,Полина Михайловна Ветошкова,001,03-18-2023_12h24.11.840,choiceRTT,2021.2.3,Win32,60.05645307,1.8568,,,,,,,,1,8,17,3,1
