participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,keyResp.rt,keyResp.duration,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,,0,-0.20952381,-0.254285714,1,0,0,2.6376,cross_button,1,1.1376,,0,0,0,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,,0,0.025714286,-0.258095238,1,0,0,2.3111,square_button,1,1.0111,,0,1,1,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,,0,0.265714286,-0.254285714,1,0,0,2.4109,plus_button,1,1.3109,,0,2,2,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,,0,-0.004761905,-0.244761905,1,0,0,2.3267,square_button,1,0.8267,,0,3,3,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,,0,0.281904762,-0.24,1,0,0,2.3606,plus_button,1,0.8606,,0,4,4,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,,0,-0.160952381,-0.243809524,1,0,0,2.1104,cross_button,1,1.0104,,0,5,5,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,,0,0.045714286,-0.265714286,1,0,0,1.0496,square_button,0,-0.2504,,0,6,6,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,,0,0.04,-0.244761905,1,0,0,2.2593,square_button,1,1.1593,,0,7,7,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,,0,-0.30952381,-0.244761905,1,0,0,3.2107,cross_button,1,1.9107,,0,8,8,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,,,,,,,,,,,,,,,,,,,,,0.304761905,-0.055238095,1,0,0,,,,,,,
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,c,1,,,,,,,,,2.9369,,,,,,,1.5,images/target_cross.jpg,,,,,,,4.4369,,0,0,0,6,1
