participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,v,0,1.7179,,,,,,,,,0.6179,,0,0,0,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,,,
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,v,1,2.7671,,,,,,,,,1.2671,v,0,1,1,2,1,1.5,images/target_square.jpg,1.7644,,,,,,,,,,,,,,
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,c,0,2.8331,,,,,,,,,1.3331,space,0,2,2,4,1,1.5,images/target_plus.jpg,0.8089,,,,,,,,,,,,,,
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,b,0,1.8424,,,,,,,,,0.5424,space,0,3,3,8,1,1.3,images/target_square.jpg,0.6237,,,,,,,,,,,,,,
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,b,1,3.1456,,,,,,,,,1.8456,space,0,4,4,1,1,1.3,images/target_plus.jpg,1.3235,,,,,,,,,,,,,,
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,c,1,3.784,,,,,,,,,2.284,space,0,5,5,6,1,1.5,images/target_cross.jpg,0.9505,,,,,,,,,,,,,,
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,c,1,1.8082,,,,,,,,,0.5082,space,0,6,6,3,1,1.3,images/target_cross.jpg,0.414,,,,,,,,,,,,,,
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,b,1,1.7725,,,,,,,,,0.6725,space,0,7,7,7,1,1.1,images/target_plus.jpg,0.3467,,,,,,,,,,,,,,
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,v,1,1.5064,,,,,,,,,0.4064,space,0,8,8,5,1,1.1,images/target_square.jpg,0.2986,,,,,,,,,,,,,,
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,,,,,,,,,,,,,,,,,,,,,,,space,2.5919,,0.398148148,0.03148146,0,0,0,,,,,
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,c,1,2.3188,,,,,,,,,1.0188,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,,,0,0,0,3,1
,001,2023-10-12_17h56.34.294,choiceRTT,2023.1.3,Win32,144.7387466,v,0,1.8303,,,,,,,,,0.5303,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,,,0,1,1,1,1
