keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,PracticeLoop.order
c,1,3.0015,,,,,,,,1.7015,space,1.7843,0,0,0,3,1,1.3,images/target_cross.jpg,tet,001,2022-05-23_10h06.40.684,choiceRTT,2021.2.3,Win32,59.90534955,
c,0,2.2269,,,,,,,,0.7269,space,0.9728,0,1,1,4,1,1.5,images/target_plus.jpg,tet,001,2022-05-23_10h06.40.684,choiceRTT,2021.2.3,Win32,59.90534955,
c,1,3.0577,,,,,,,,1.9577,space,1.1696,0,2,2,0,1,1.1,images/target_cross.jpg,tet,001,2022-05-23_10h06.40.684,choiceRTT,2021.2.3,Win32,59.90534955,
v,0,2.9898,,,,,,,,1.6898,space,1.3378,0,3,3,1,1,1.3,images/target_plus.jpg,tet,001,2022-05-23_10h06.40.684,choiceRTT,2021.2.3,Win32,59.90534955,
v,1,2.7797,,,,,,,,1.6797,space,3.3778,0,4,4,5,1,1.1,images/target_square.jpg,tet,001,2022-05-23_10h06.40.684,choiceRTT,2021.2.3,Win32,59.90534955,
b,1,3.8715,,,,,,,,2.7715,space,0.7947,0,5,5,7,1,1.1,images/target_plus.jpg,tet,001,2022-05-23_10h06.40.684,choiceRTT,2021.2.3,Win32,59.90534955,
c,1,2.6309,,,,,,,,1.1309,space,1.2605,0,6,6,6,1,1.5,images/target_cross.jpg,tet,001,2022-05-23_10h06.40.684,choiceRTT,2021.2.3,Win32,59.90534955,
v,1,1.8645,,,,,,,,0.5645,,,0,7,7,8,1,1.3,images/target_square.jpg,tet,001,2022-05-23_10h06.40.684,choiceRTT,2021.2.3,Win32,59.90534955,8
