response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order,mouseResp.clicked_name
,0,,-0.367690605,-0.032013262,1,0,0,,,,,,,1.4444,-0.375,c,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,8,1,39,targImage
,0,,0.092153951,-0.070873365,1,0,0,,,,,,,1.4444,0.125,b,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,10,1,39,targImage
,0,,0.316987405,-0.042190964,1,0,0,,,,,,,2.7776,0.375,n,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,35,1,39,targImage
,0,,0.161546992,-0.042190964,1,0,0,,,,,,,1.2222,0.125,b,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,6,1,39,targImage
,0,,-0.439859368,-0.009807545,1,0,0,,,,,,,1.6666,-0.375,c,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,12,1,39,targImage
,0,,-0.097520419,-0.007031823,1,0,0,,,,,,,2.5554,-0.125,v,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,29,1,39,targImage
,0,,0.054219088,-0.015358988,1,0,0,,,,,,,1.6666,0.125,b,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,14,1,39,targImage
,0,,-0.29367136,-0.019985191,1,0,0,,,,,,,1.8888,-0.375,c,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,16,1,39,targImage
,0,,0.345669862,-0.003330861,1,0,0,,,,,,,1.8888,0.375,n,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,19,1,39,targImage
,0,,-0.061435981,-0.007031823,1,0,0,,,,,,,2.3332,-0.125,v,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,25,1,39,targImage
,0,,-0.061435981,-0.007031823,1,0,0,,,,,,,1.4444,-0.125,v,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,9,1,39,targImage
