response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order,mouseResp.clicked_name
c,1,3.598999977,0.046817164,-0.243893405,0,0,0,1,0,8,4,1,7,1,-0.375,c,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,,,,,,,
v,0,1.299000025,0.046817164,-0.243893405,0,0,0,1,0,8,3,1,7,1,0.375,n,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,,,,,,,
b,1,1.075999975,0.046817164,-0.243893405,0,0,0,1,0,8,2,1,7,1,0.125,b,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,,,,,,,
n,0,0.644999981,0.046817164,-0.243893405,0,0,0,1,0,8,1,1,7,1,-0.125,v,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,,,,,,,
n,0,4.628000021,0.046817164,-0.243893405,0,0,0,1,0,8,6,1,7,1,0.125,b,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,,,,,,,
n,0,2.618999958,0.046817164,-0.243893405,0,0,0,1,0,8,0,1,7,1,-0.375,c,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,,,,,,,
b,0,0.513000011,0.046817164,-0.243893405,0,0,0,1,0,8,5,1,7,1,-0.125,v,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,,,,,,,
v,0,0.484999895,0.046817164,-0.243893405,0,0,0,1,0,8,7,1,7,1,0.375,n,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,,,,,,,
c,0,5.885999918,0.04126572,-0.263323457,0,0,0,,,,,,,2.5554,0.375,n,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,31,1,39,
c,1,1.061000109,0.046817164,-0.275351584,0,0,0,,,,,,,1,-0.375,c,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,0,1,39,
c,0,0.504999876,0.046817164,-0.275351584,0,0,0,,,,,,,1.2222,-0.125,v,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,5,1,39,
c,0,0.484999895,0.048667645,-0.282753508,0,0,0,,,,,,,1.8888,0.125,b,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,18,1,39,
c,1,0.664999962,0.049592885,-0.283678749,0,0,0,,,,,,,1.2222,-0.375,c,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,4,1,39,
v,1,0.497999907,0.050518126,-0.291080617,0,0,0,,,,,,,1.8888,-0.125,v,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,17,1,39,
b,0,0.43599987,0.052368607,-0.300333079,0,0,0,,,,,,,2.3332,0.375,n,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,27,1,39,
b,0,0.539999962,0.052368607,-0.30125832,0,0,0,,,,,,,1.6666,-0.125,v,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,13,1,39,
c,0,0.548000097,0.053293847,-0.30218356,0,0,0,,,,,,,1,0.375,n,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,3,1,39,
,0,,0.120836408,-0.014433748,1,0,0,,,,,,,2.111,0.125,b,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,22,1,39,targImage
,0,,0.338267938,-0.013508507,1,0,0,,,,,,,2.9998,0.375,n,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,39,1,39,targImage
,0,,-0.033678765,-0.021835672,1,0,0,,,,,,,2.111,-0.125,v,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,21,1,39,targImage
,0,,-0.356587774,-0.051443314,1,0,0,,,,,,,2.5554,-0.375,c,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,28,1,39,targImage
,0,,-0.125277579,-0.056069573,1,0,0,,,,,,,1,-0.125,v,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,1,1,39,targImage
,0,,0.1069578,-0.062546257,1,0,0,,,,,,,2.7776,0.125,b,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,34,1,39,targImage
,0,,-0.327905261,-0.028312356,1,0,0,,,,,,,2.111,-0.375,c,asd,001,2020-09-07_00h12.30.677,choiceRTT,3.1.3,60,1,0,40,20,1,39,targImage
