response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate
v,1,6.164999962,0.150925957,-0.285185265,0,0,0,1,0,8,1,1,7,1,-0.125,v,1,001,2021-05-16_12h58.35.074,choiceRTT,3.1.3,60
v,0,4.562000036,0.150925957,-0.285185265,0,0,0,1,0,8,3,1,7,1,0.375,n,1,001,2021-05-16_12h58.35.074,choiceRTT,3.1.3,60
