response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate
n,0,6.644999981,0.100721571,-0.244414605,0,0,0,1,0,8,6,1,7,1,0.125,b,,001,2021-07-19_13h45.57.889,choiceRTT,3.1.3,60
v,1,0.921999931,0.100721571,-0.244414605,0,0,0,1,0,8,5,1,7,1,-0.125,v,,001,2021-07-19_13h45.57.889,choiceRTT,3.1.3,60
