participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,c,0,2.4203,,,,,,,,,1.1203,,0,0,0,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,c,0,3.3438,,,,,,,,,1.8438,,0,1,1,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.8197,,,,,,,,,1.5197,,0,2,2,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,c,1,3.1352,,,,,,,,,2.0352,,0,3,3,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.2001,,,,,,,,,0.9001,space,0,4,4,3,1,1.3,images/target_cross.jpg,2.3599,,,,,,,,,,,,
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,c,1,3.2532,,,,,,,,,1.7532,,0,5,5,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,v,1,3.1573,,,,,,,,,1.6573,space,0,6,6,2,1,1.5,images/target_square.jpg,1.4574,,,,,,,,,,,,
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.0956,,,,,,,,,0.9956,,0,7,7,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,b,1,3.142,,,,,,,,,2.042,,0,8,8,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,-0.005555541,-0.240740741,1,0,0,,,,,
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.702,,,,,,,,,1.202,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,0,0,2,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.312,,,,,,,,,1.012,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,1,1,3,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.1484,,,,,,,,,0.8484,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,2,2,8,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.1801,,,,,,,,,1.0801,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,3,3,7,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.0786,,,,,,,,,0.9786,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,4,4,5,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.5092,,,,,,,,,1.2092,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,5,5,1,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.3301,,,,,,,,,0.8301,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,6,6,4,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,c,1,1.9722,,,,,,,,,0.8722,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,7,7,0,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,c,1,1.9932,,,,,,,,,0.4932,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,8,8,6,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.1338,,,,,,,,,0.8338,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,1,0,9,1,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,v,1,1.9239,,,,,,,,,0.6239,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,1,10,8,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,v,0,2.1014,,,,,,,,,0.6014,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,1,2,11,4,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.8401,,,,,,,,,1.3401,,,,,,,1.5,images/target_square.jpg,,,,,,,,,1,3,12,2,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.2399,,,,,,,,,0.9399,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,1,4,13,3,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,v,1,1.641,,,,,,,,,0.541,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,5,14,5,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,c,1,1.8833,,,,,,,,,0.7833,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,1,6,15,0,1
,001,2024-02-01_10h43.35.133,choiceRTT,2023.1.3,Win32,59.88023952,v,0,1.6376,,,,,,,,,0.5376,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,7,16,7,1
