participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
o9o,001,2024-01-18_10h43.30.604,choiceRTT,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o9o,001,2024-01-18_10h43.30.604,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.228703675,-0.267592607,1,0,0,6.067,cross_button,0,4.767,space,24.8841,,0,0,0,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
o9o,001,2024-01-18_10h43.30.604,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.243518476,-0.243518547,1,0,0,4.9405,cross_button,0,3.8405,space,3.3982,,0,1,1,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
o9o,001,2024-01-18_10h43.30.604,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.246296282,-0.253703718,1,0,0,7.5826,plus_button,0,6.2826,,,,0,2,2,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
o9o,001,2024-01-18_10h43.30.604,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.216666681,-0.273148148,1,0,0,3.5066,cross_button,0,2.0066,,,,0,3,3,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
o9o,001,2024-01-18_10h43.30.604,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.017592607,-0.237037023,1,0,0,3.894,square_button,1,2.394,,,,0,4,4,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
o9o,001,2024-01-18_10h43.30.604,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.017592607,-0.237037023,1,0,0,1.2532,square_button,1,0.1532,,,,0,5,5,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
o9o,001,2024-01-18_10h43.30.604,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.017592607,-0.237037023,1,0,0,0.6491,square_button,0,-0.6509,,,,0,6,6,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
o9o,001,2024-01-18_10h43.30.604,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.017592607,-0.237037023,1,0,0,0.4237,square_button,0,-0.6763,,,,0,7,7,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
o9o,001,2024-01-18_10h43.30.604,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.017592607,-0.237037023,1,0,0,0.3996,square_button,0,-1.1004,,,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
