participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
1,001,2024-01-31_20h45.00.586,choiceRTT,2023.1.3,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,
1,001,2024-01-31_20h45.00.586,choiceRTT,2023.1.3,MacIntel,30.03003003,v,1,4.6115,,,,,,,,,3.3115,,0,0,0,8,1,1.3,images/target_square.jpg
