participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2024-02-01_11h46.56.254,choiceRTT,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-02-01_11h46.56.254,choiceRTT,2023.1.3,Win32,59.52380952,v,1,2.4152,,,,,,,,,1.3152,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
,001,2024-02-01_11h46.56.254,choiceRTT,2023.1.3,Win32,59.52380952,v,1,2.8893,,,,,,,,,1.3893,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
,001,2024-02-01_11h46.56.254,choiceRTT,2023.1.3,Win32,59.52380952,c,0,1.7818,,,,,,,,,0.4818,b,0,2,2,1,1,1.3,images/target_plus.jpg,0.2665,,,,,,,,,,,,
,001,2024-02-01_11h46.56.254,choiceRTT,2023.1.3,Win32,59.52380952,b,0,1.9082,,,,,,,,,0.4082,,0,3,3,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
,001,2024-02-01_11h46.56.254,choiceRTT,2023.1.3,Win32,59.52380952,v,1,1.8548,,,,,,,,,0.5548,,0,4,4,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
,001,2024-02-01_11h46.56.254,choiceRTT,2023.1.3,Win32,59.52380952,b,1,2.4608,,,,,,,,,0.9608,b,0,5,5,4,1,1.5,images/target_plus.jpg,3.0525,,,,,,,,,,,,
,001,2024-02-01_11h46.56.254,choiceRTT,2023.1.3,Win32,59.52380952,b,1,1.7617,,,,,,,,,0.6617,c,0,6,6,7,1,1.1,images/target_plus.jpg,0.1236,,,,,,,,,,,,
,001,2024-02-01_11h46.56.254,choiceRTT,2023.1.3,Win32,59.52380952,v,0,1.7785,,,,,,,,,0.4785,c,0,7,7,3,1,1.3,images/target_cross.jpg,0.0549,,,,,,,,,,,,
,001,2024-02-01_11h46.56.254,choiceRTT,2023.1.3,Win32,59.52380952,b,0,1.6036,,,,,,,,,0.5036,,0,8,8,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
,001,2024-02-01_11h46.56.254,choiceRTT,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,-0.015740741,-0.22962963,1,0,0,,,,,
