participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2024-01-04_12h52.21.746,choiceRTT,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-01-04_12h52.21.746,choiceRTT,2023.1.3,Win32,59.52380952,,0,-0.025265957,-0.236037234,1,0,0,4.166,square_button,1,2.866,space,6.1247,,0,0,0,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
,001,2024-01-04_12h52.21.746,choiceRTT,2023.1.3,Win32,59.52380952,,0,0.178856383,-0.246675532,1,0,0,3.5988,plus_button,0,2.0988,space,5.5498,,0,1,1,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
,001,2024-01-04_12h52.21.746,choiceRTT,2023.1.3,Win32,59.52380952,,0,0.271276596,-0.267952128,1,0,0,2.8276,plus_button,1,1.3276,,,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
,001,2024-01-04_12h52.21.746,choiceRTT,2023.1.3,Win32,59.52380952,,0,0.244680851,-0.239361702,1,0,0,2.4116,plus_button,1,1.1116,,,,0,3,3,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
,001,2024-01-04_12h52.21.746,choiceRTT,2023.1.3,Win32,59.52380952,,0,-0.043218085,-0.238696809,1,0,0,2.9476,square_button,1,1.4476,,,,0,4,4,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
,001,2024-01-04_12h52.21.746,choiceRTT,2023.1.3,Win32,59.52380952,,0,-0.230053191,-0.258643617,1,0,0,3.4751,cross_button,1,2.1751,,,,0,5,5,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
,001,2024-01-04_12h52.21.746,choiceRTT,2023.1.3,Win32,59.52380952,,0,-0.230053191,-0.234707447,1,0,0,2.4779,cross_button,1,1.3779,,,,0,6,6,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
,001,2024-01-04_12h52.21.746,choiceRTT,2023.1.3,Win32,59.52380952,,0,0.229388298,-0.234042553,1,0,0,2.5939,plus_button,1,1.4939,,,,0,7,7,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
,001,2024-01-04_12h52.21.746,choiceRTT,2023.1.3,Win32,59.52380952,,0,-0.00731383,-0.267287234,1,0,0,2.0442,square_button,1,0.9442,,,,0,8,8,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
