participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
,001,2023-11-19_15h13.49.818,choiceRTT,2023.1.3,Win32,48.54368932,,,,,,,,,,,,,,,,,,,,
,001,2023-11-19_15h13.49.818,choiceRTT,2023.1.3,Win32,48.54368932,c,0,3.1566,,,,,,,,,1.6566,,0,0,0,2,1,1.5,images/target_square.jpg
